,SIM Time,Waiting Time,Waiting Car,Action,Reward
695,696.0,1204.0,24,16,-9
696,697.0,1218.0,25,8,-9
697,698.0,1234.0,25,8,-9
698,699.0,1251.0,25,32,-9
699,700.0,1269.0,26,64,-9
700,701.0,1288.0,28,48,-9
701,702.0,1307.0,27,24,-9
702,703.0,1328.0,28,8,-9
703,704.0,1350.0,28,32,-9
704,705.0,1372.0,28,64,-9
705,706.0,1396.0,28,32,-9
706,707.0,1422.0,28,8,-9
707,708.0,1449.0,28,8,-9
708,709.0,1476.0,28,24,-9
709,710.0,1504.0,28,32,-9
710,711.0,1532.0,28,24,-9
711,712.0,1560.0,28,32,-9
712,713.0,1588.0,28,32,-9
713,714.0,1616.0,28,24,-9
714,715.0,1644.0,28,48,-9
715,716.0,1672.0,28,8,-9
716,717.0,1700.0,28,52,-9
717,718.0,1728.0,28,32,-9
718,719.0,1743.0,28,52,-9
719,720.0,1759.0,28,52,-9
720,721.0,1785.0,27,48,-9
721,722.0,1811.0,27,52,-9
722,723.0,1837.0,27,8,-9
723,724.0,1863.0,26,48,-9
724,725.0,1889.0,27,52,-9
725,726.0,1915.0,27,48,-9
726,727.0,1941.0,27,48,-9
727,728.0,1967.0,26,52,-9
728,729.0,1993.0,26,52,-9
729,730.0,2019.0,27,16,-9
730,731.0,2045.0,27,8,-9
731,732.0,2071.0,27,64,-9
732,733.0,2097.0,28,52,-9
733,734.0,2124.0,28,64,-9
734,735.0,2151.0,28,8,-9
735,736.0,2178.0,28,32,-9
736,737.0,2206.0,28,32,-9
737,738.0,2234.0,28,48,-9
738,739.0,2262.0,28,64,-9
739,740.0,2290.0,28,64,-9
740,741.0,2318.0,28,32,-9
741,742.0,2346.0,28,52,-9
742,743.0,2374.0,28,64,-9
743,744.0,2402.0,28,32,-9
744,745.0,2430.0,28,32,-9
745,746.0,2458.0,28,48,-9
746,747.0,2472.0,28,52,-9
747,748.0,2487.0,28,16,-9
748,749.0,2513.0,27,48,-9
749,750.0,2539.0,27,48,-9
750,751.0,2565.0,27,32,-9
751,752.0,2591.0,27,16,-9
752,753.0,2617.0,27,24,-9
753,754.0,2643.0,28,16,-9
754,755.0,2669.0,29,8,-9
755,756.0,2695.0,28,8,-9
