,SIM Time,Waiting Time,Waiting Car,Action,Reward
264,265.0,"(74.0, 11)",11,48,10
265,266.0,"(79.0, 11)",11,24,10
266,267.0,"(84.0, 11)",11,64,10
267,268.0,"(89.0, 11)",11,64,10
268,269.0,"(94.0, 10)",10,16,10
269,270.0,"(99.0, 11)",11,24,10
270,271.0,"(104.0, 13)",13,8,10
271,272.0,"(109.0, 12)",12,16,10
272,273.0,"(114.0, 10)",10,64,10
273,274.0,"(120.0, 10)",10,32,10
274,275.0,"(126.0, 11)",11,52,10
275,276.0,"(132.0, 11)",11,52,10
276,277.0,"(138.0, 11)",11,48,10
277,278.0,"(144.0, 11)",11,48,10
278,279.0,"(150.0, 11)",11,48,10
279,280.0,"(157.0, 10)",10,64,10
280,281.0,"(164.0, 10)",10,64,10
281,282.0,"(171.0, 9)",9,24,10
282,283.0,"(178.0, 9)",9,24,10
283,284.0,"(185.0, 10)",10,24,10
284,285.0,"(193.0, 12)",12,16,10
285,286.0,"(201.0, 11)",11,16,5
286,287.0,"(209.0, 12)",12,24,5
287,288.0,"(217.0, 13)",13,64,5
288,289.0,"(225.0, 14)",14,52,5
289,290.0,"(233.0, 14)",14,32,5
290,291.0,"(242.0, 14)",14,24,5
291,292.0,"(251.0, 15)",15,32,5
292,293.0,"(260.0, 15)",15,48,5
293,294.0,"(227.0, 14)",14,52,5
294,295.0,"(144.0, 13)",13,64,10
295,296.0,"(82.0, 12)",12,32,10
296,297.0,"(24.0, 12)",12,48,10
297,298.0,"(28.0, 11)",11,48,10
298,299.0,"(17.0, 11)",11,8,10
299,300.0,"(10.0, 10)",10,16,10
300,301.0,"(5.0, 9)",9,64,10
301,302.0,"(2.0, 11)",11,8,10
302,303.0,"(0.0, 11)",11,64,10
303,304.0,"(0.0, 9)",9,64,10
304,305.0,"(0.0, 10)",10,24,10
305,306.0,"(0.0, 10)",10,32,10
306,307.0,"(0.0, 9)",9,24,10
307,308.0,"(0.0, 10)",10,48,10
308,309.0,"(1.0, 9)",9,16,10
309,310.0,"(2.0, 9)",9,64,10
310,311.0,"(4.0, 10)",10,32,10
311,312.0,"(6.0, 9)",9,24,10
312,313.0,"(8.0, 10)",10,48,10
313,314.0,"(11.0, 9)",9,52,10
314,315.0,"(14.0, 10)",10,52,10
315,316.0,"(17.0, 11)",11,32,10
316,317.0,"(20.0, 9)",9,8,10
317,318.0,"(24.0, 10)",10,24,10
318,319.0,"(28.0, 10)",10,32,10
319,320.0,"(32.0, 11)",11,48,10
320,321.0,"(37.0, 12)",12,48,10
321,322.0,"(42.0, 10)",10,16,10
322,323.0,"(48.0, 14)",14,52,10
323,324.0,"(52.0, 13)",13,24,10
324,325.0,"(57.0, 11)",11,24,10
325,326.0,"(62.0, 15)",15,24,10
326,327.0,"(67.0, 14)",14,64,10
327,328.0,"(73.0, 13)",13,32,10
328,329.0,"(79.0, 16)",16,8,10
329,330.0,"(86.0, 16)",16,32,10
330,331.0,"(94.0, 16)",16,48,10
331,332.0,"(102.0, 18)",18,8,10
332,333.0,"(110.0, 17)",17,24,10
333,334.0,"(119.0, 19)",19,8,10
334,335.0,"(128.0, 18)",18,16,10
335,336.0,"(139.0, 18)",18,8,10
336,337.0,"(151.0, 18)",18,16,10
337,338.0,"(164.0, 17)",17,24,10
338,339.0,"(163.0, 18)",18,8,10
339,340.0,"(171.0, 16)",16,8,10
340,341.0,"(178.0, 17)",17,64,10
341,342.0,"(185.0, 17)",17,32,10
342,343.0,"(194.0, 18)",18,24,10
343,344.0,"(203.0, 18)",18,52,5
344,345.0,"(212.0, 17)",17,48,5
345,346.0,"(221.0, 18)",18,52,5
346,347.0,"(230.0, 18)",18,48,5
347,348.0,"(239.0, 18)",18,8,5
348,349.0,"(248.0, 17)",17,52,5
349,350.0,"(257.0, 15)",15,48,5
350,351.0,"(266.0, 16)",16,8,5
351,352.0,"(276.0, 16)",16,32,5
352,353.0,"(242.0, 16)",16,16,5
353,354.0,"(208.0, 16)",16,8,5
354,355.0,"(175.0, 17)",17,16,10
355,356.0,"(139.0, 18)",18,48,10
356,357.0,"(103.0, 18)",18,24,10
357,358.0,"(76.0, 16)",16,64,10
358,359.0,"(51.0, 16)",16,64,10
359,360.0,"(28.0, 17)",17,64,10
360,361.0,"(5.0, 18)",18,52,10
361,362.0,"(7.0, 16)",16,8,10
362,363.0,"(9.0, 16)",16,48,10
363,364.0,"(11.0, 18)",18,24,10
364,365.0,"(13.0, 16)",16,8,10
365,366.0,"(15.0, 16)",16,48,10
366,367.0,"(17.0, 15)",15,24,10
367,368.0,"(19.0, 14)",14,16,10
368,369.0,"(21.0, 14)",14,64,10
369,370.0,"(23.0, 12)",12,52,10
370,371.0,"(25.0, 12)",12,32,10
371,372.0,"(27.0, 12)",12,24,10
372,373.0,"(29.0, 12)",12,52,10
373,374.0,"(31.0, 12)",12,8,10
374,375.0,"(33.0, 11)",11,64,10
375,376.0,"(35.0, 10)",10,16,10
376,377.0,"(37.0, 10)",10,32,10
377,378.0,"(39.0, 9)",9,8,10
378,379.0,"(41.0, 12)",12,32,10
379,380.0,"(43.0, 11)",11,24,10
380,381.0,"(45.0, 11)",11,52,10
381,382.0,"(48.0, 13)",13,52,10
382,383.0,"(51.0, 13)",13,16,10
383,384.0,"(54.0, 13)",13,16,10
384,385.0,"(57.0, 15)",15,24,10
385,386.0,"(62.0, 15)",15,32,10
386,387.0,"(68.0, 15)",15,8,10
387,388.0,"(74.0, 17)",17,48,10
388,389.0,"(81.0, 17)",17,32,10
