,SIM Time,Waiting Time,Waiting Car,Action,Reward
443,444,247.0,25,[32],5
444,445,266.0,25,[52],5
445,446,287.0,25,[8],5
446,447,308.0,25,[64],3
447,448,326.0,26,[48],3
448,449,347.0,26,[32],3
449,450,368.0,25,[8],3
450,451,389.0,25,[48],3
451,452,410.0,25,[48],3
452,453,431.0,25,[24],3
453,454,452.0,26,[52],3
454,455,473.0,25,[32],3
455,456,494.0,25,[32],3
456,457,515.0,24,[32],-3
457,458,536.0,25,[16],-3
458,459,557.0,25,[8],-3
459,460,578.0,26,[32],-3
460,461,599.0,25,[24],-3
461,462,546.0,25,[48],-3
462,463,529.0,26,[48],-3
463,464,511.0,26,[64],-3
464,465,494.0,26,[64],3
465,466,511.0,26,[24],-3
466,467,529.0,25,[32],-3
467,468,524.0,27,[64],-3
468,469,521.0,27,[8],-3
469,470,538.0,27,[8],-3
470,471,557.0,28,[48],-3
471,472,577.0,28,[32],-3
472,473,599.0,27,[16],-3
473,474,621.0,28,[52],-9
474,475,644.0,28,[8],-9
475,476,667.0,28,[8],-9
476,477,690.0,27,[16],-9
477,478,714.0,27,[52],-9
478,479,738.0,28,[16],-9
479,480,764.0,28,[16],-9
480,481,790.0,29,[24],-9
481,482,816.0,29,[24],-9
482,483,842.0,29,[32],-9
483,484,868.0,29,[8],-9
484,485,894.0,29,[24],-9
485,486,920.0,28,[32],-9
486,487,946.0,28,[8],-9
487,488,972.0,27,[24],-9
488,489,998.0,27,[16],-9
489,490,1024.0,27,[32],-9
490,491,1029.0,28,[32],-9
491,492,1034.0,28,[16],-9
492,493,1059.0,28,[32],-9
493,494,1062.0,28,[8],-9
494,495,1066.0,28,[64],-9
495,496,1071.0,28,[64],-9
496,497,1076.0,27,[48],-9
497,498,1079.0,27,[52],-9
498,499,1100.0,27,[52],-9
499,500,1121.0,26,[24],-9
500,501,1142.0,28,[48],-9
501,502,1163.0,25,[48],-9
502,503,1184.0,25,[64],-9
503,504,1205.0,25,[24],-9
504,505,1226.0,25,[32],-9
505,506,1247.0,24,[16],-9
506,507,1268.0,25,[52],-9
507,508,1289.0,25,[8],-9
508,509,1310.0,24,[52],-9
509,510,1331.0,25,[16],-9
510,511,1352.0,25,[64],-9
511,512,1312.0,25,[24],-9
512,513,1312.0,26,[16],-9
513,514,1330.0,27,[48],-9
514,515,1349.0,27,[32],-9
515,516,1369.0,27,[24],-9
516,517,1389.0,27,[64],-9
517,518,1410.0,27,[48],-9
518,519,1432.0,27,[52],-9
519,520,1455.0,27,[16],-9
520,521,1478.0,28,[8],-9
521,522,1502.0,28,[8],-9
522,523,1527.0,28,[16],-9
523,524,1552.0,28,[52],-9
524,525,1578.0,29,[64],-9
525,526,1604.0,27,[24],-9
526,527,1630.0,27,[32],-9
